School Year,County Number,County Name,District Number,District Name,School Number,School Name,School Code,State School Id,NCES ID,CO-OP,CO-OP Code,School Type,Teacher Count,Teacher Turnover Count,Turnover Percent
20232024,028,CRITTENDEN,135,Crittenden County,100,Crittenden County Elementary School,135100,028135100,210138001441,908,WKEC,A1,47,15,31.9
20232024,029,CUMBERLAND,141,Cumberland County,,All Schools,141000,,,902,GRREC,,83,17,20.5
20232024,029,CUMBERLAND,141,Cumberland County,070,Cumberland County Elementary School,141070,029141070,210141000286,902,GRREC,A1,35,5,14.3
20232024,029,CUMBERLAND,141,Cumberland County,075,Cumberland County Middle School,141075,029141075,210141001561,902,GRREC,A1,23,6,26.1
20232024,029,CUMBERLAND,141,Cumberland County,080,Cumberland County High School,141080,029141080,210141000287,902,GRREC,A1,25,6,24.0
20232024,011,BOYLE,143,Danville Independent,,All Schools,143000,,,901,CKEC,,160,37,23.1
20232024,011,BOYLE,143,Danville Independent,003,Mary G. Hogsett Primary School,143003,011143003,210144002477,901,CKEC,A1,28,9,32.1
20232024,011,BOYLE,143,Danville Independent,005,John W. Bate Middle School,143005,011143005,210144000290,901,CKEC,A1,35,7,20.0
20232024,011,BOYLE,143,Danville Independent,010,Edna L. Toliver Intermediate School,143010,011143010,210144002476,901,CKEC,A1,48,8,16.7
20232024,011,BOYLE,143,Danville Independent,015,Anchor Academy,143015,011143015,210144002500,901,CKEC,A5,2,0,0.0
20232024,011,BOYLE,143,Danville Independent,030,Danville High School,143030,011143030,210144000291,901,CKEC,A1,44,13,29.5
20232024,011,BOYLE,143,Danville Independent,350,Sunrise Academy,143350,011143350,210144000646,901,CKEC,A6,3,0,0.0
20232024,030,DAVIESS,145,Daviess County,,All Schools,145000,,,902,GRREC,,784,125,15.9
20232024,030,DAVIESS,145,Daviess County,005,Apollo High School,145005,030145005,210147000295,902,GRREC,A1,92,14,15.2
20232024,030,DAVIESS,145,Daviess County,006,Meadow Lands Elementary School,145006,030145006,210147001949,902,GRREC,A1,35,4,11.4
20232024,030,DAVIESS,145,Daviess County,007,East View Elementary School,145007,030145007,210147001625,902,GRREC,A1,32,6,18.8
20232024,030,DAVIESS,145,Daviess County,008,F T Burns Middle School,145008,030145008,210147000296,902,GRREC,A1,58,15,25.9
20232024,030,DAVIESS,145,Daviess County,010,Daviess County High School,145010,030145010,210147000297,902,GRREC,A1,106,17,16.0
20232024,030,DAVIESS,145,Daviess County,011,Southern Oaks Elementary School,145011,030145011,210147002230,902,GRREC,A1,32,5,15.6
20232024,030,DAVIESS,145,Daviess County,015,The Center for Academic Improvement,145015,030145015,210147002470,902,GRREC,A5,2,1,50.0
20232024,030,DAVIESS,145,Daviess County,020,Daviess County Middle School,145020,030145020,210147000298,902,GRREC,A1,61,6,9.8
20232024,030,DAVIESS,145,Daviess County,025,Highland Elementary School,145025,030145025,210147000299,902,GRREC,A1,32,3,9.4
20232024,030,DAVIESS,145,Daviess County,035,Virtual Academy,145035,030145035,210147002538,902,GRREC,A5,1,0,0.0
20232024,030,DAVIESS,145,Daviess County,040,Deer Park Elementary School,145040,030145040,210147000301,902,GRREC,A1,31,1,3.2
20232024,030,DAVIESS,145,Daviess County,070,Sorgho Elementary School,145070,030145070,210147000303,902,GRREC,A1,26,9,34.6
20232024,030,DAVIESS,145,Daviess County,085,Audubon Elementary School,145085,030145085,210147000054,902,GRREC,A1,32,5,15.6
20232024,030,DAVIESS,145,Daviess County,095,Tamarack Elementary School,145095,030145095,210147000306,902,GRREC,A1,36,2,5.6
20232024,030,DAVIESS,145,Daviess County,130,West Louisville Elementary School,145130,030145130,210147000309,902,GRREC,A1,26,5,19.2
20232024,030,DAVIESS,145,Daviess County,140,Whitesville Elementary School,145140,030145140,210147000310,902,GRREC,A1,23,3,13.0
20232024,030,DAVIESS,145,Daviess County,145,F T Burns Elementary School,145145,030145145,210147000311,902,GRREC,A1,34,5,14.7
20232024,030,DAVIESS,145,Daviess County,150,Country Heights Elementary School,145150,030145150,210147001581,902,GRREC,A1,33,6,18.2
20232024,030,DAVIESS,145,Daviess County,155,College View Middle School,145155,030145155,210147000961,902,GRREC,A1,62,14,22.6
