Dist No,District name,Average Salary 23-24,Impact Measure,Impact Value
525,SCOTT,58763.22,School Climate,69
531,SHELBY ,60476.75,School Climate,62
535,SIMPSON ,61703.46,School Climate,62
536,SOMERSET,59147.32,School Climate,68
537,SOUTHGATE,55674.9,School Climate,75
541,SPENCER ,62282.13,School Climate,76
545,TAYLOR ,57631.08,School Climate,59
551,TODD ,53237.8,School Climate,61
555,TRIGG ,57312.64,School Climate,68
561,TRIMBLE ,54994.35,School Climate,56
565,UNION ,55875.91,School Climate,62
567,WALTON VERONA,62505.41,School Climate,79
571,WARREN ,58892.91,School Climate,68
575,WASHINGTON ,64346.29,School Climate,73
581,WAYNE ,54160.67,School Climate,51
585,WEBSTER ,53748.45,School Climate,69
591,WHITLEY ,58899.08,School Climate,75
593,WILLIAMSTOWN,55892.89,School Climate,67
595,WOLFE ,60554.68,School Climate,85
601,WOODFORD ,61145.86,School Climate,67
